Semana,Num_Aviones,Motores_en_mantenimiento,Motores_arrendados,Motores_comprados,Motores_en_stock,Motores_sobreciclo,Costo_acumulado
1,30,0,0,0,0,0,0.0
2,30,2,0,2,0,0,3000000.0
3,30,2,0,0,0,0,3000000.0
4,30,2,0,0,0,0,3000000.0
5,30,2,0,0,0,0,3000000.0
6,30,2,0,0,0,0,3000000.0
7,30,2,0,0,0,0,3000000.0
8,30,2,0,0,0,0,3000000.0
9,30,2,0,0,0,0,3000000.0
10,30,2,0,0,0,0,3000000.0
11,30,2,0,0,0,0,3000000.0
12,30,2,0,0,0,0,3000000.0
13,30,2,0,0,0,0,3000000.0
14,30,2,0,0,0,0,3000000.0
15,30,2,0,0,0,0,3000000.0
16,30,3,1,0,0,0,3070000.0
17,30,3,1,0,0,0,3140000.0
18,30,3,1,0,0,0,3210000.0
19,30,3,1,0,0,0,3280000.0
20,30,3,1,0,0,0,3350000.0
21,30,3,1,0,0,0,3420000.0
22,30,3,1,0,0,0,3490000.0
23,30,3,1,0,0,0,3560000.0
24,30,3,1,0,0,0,3630000.0
25,30,3,1,0,0,0,3700000.0
26,30,3,1,0,0,0,3770000.0
27,30,3,1,0,0,0,3840000.0
28,30,4,2,0,0,0,3980000.0
29,30,4,2,0,0,0,4120000.0
30,30,4,2,0,0,0,4260000.0
31,30,4,2,0,0,0,4400000.0
32,30,4,2,0,0,0,4540000.0
33,30,4,2,0,0,0,4680000.0
34,30,3,1,0,0,0,4750000.0
35,30,3,1,0,0,0,4820000.0
36,30,3,1,0,0,0,4890000.0
37,30,3,1,0,0,0,4960000.0
38,30,1,0,0,1,0,4960000.0
39,30,1,0,0,1,0,4960000.0
40,30,1,0,0,1,0,4960000.0
41,30,1,0,0,1,0,4960000.0
42,30,1,0,0,1,0,4960000.0
43,30,1,0,0,1,0,4960000.0
44,30,1,0,0,1,0,4960000.0
45,30,1,0,0,1,0,4960000.0
46,30,2,0,0,0,0,4960000.0
47,30,2,0,0,0,0,4960000.0
48,30,2,0,0,0,0,4960000.0
49,30,2,0,0,0,0,4960000.0
50,30,2,0,0,0,0,4960000.0
51,30,2,0,0,0,0,4960000.0
52,30,2,0,0,0,0,4960000.0
53,30,2,0,0,0,0,4960000.0
54,30,2,0,0,0,0,4960000.0
55,30,2,0,0,0,0,4960000.0
56,30,2,0,0,0,0,4960000.0
57,30,2,0,0,0,0,4960000.0
58,30,2,0,0,0,0,4960000.0
59,30,2,0,0,0,0,4960000.0
60,30,2,0,0,0,0,4960000.0
61,30,2,0,0,0,0,4960000.0
62,30,2,0,0,0,0,4960000.0
63,30,2,0,0,0,0,4960000.0
64,30,0,0,0,2,0,4960000.0
65,30,0,0,0,2,0,4960000.0
66,30,0,0,0,2,0,4960000.0
67,30,0,0,0,2,0,4960000.0
68,30,1,0,0,1,0,4960000.0
69,30,1,0,0,1,0,4960000.0
70,30,1,0,0,1,0,4960000.0
71,30,1,0,0,1,0,4960000.0
72,30,1,0,0,1,0,4960000.0
73,30,1,0,0,1,0,4960000.0
74,30,1,0,0,1,0,4960000.0
75,30,1,0,0,1,0,4960000.0
76,30,1,0,0,1,0,4960000.0
77,30,1,0,0,1,0,4960000.0
78,30,2,0,0,0,0,4960000.0
79,30,2,0,0,0,0,4960000.0
